,ID,Robocrys_description,N_tokens,SG,SG_symbol,Crystal_system,Structure_types
0,mp-103,"Hf is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Hf is bonded to twelve equivalent Hf atoms to form a mixture of edge, face, and corner-sharing HfHf12 cuboctahedra. There are six shorter (3.12 Å) and six longer (3.19 Å) Hf-Hf bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
1,mp-104,Sb is alpha As structured and crystallizes in the trigonal R̅3m space group. Sb is bonded to six equivalent Sb atoms to form a mixture of distorted corner and edge-sharing SbSb6 octahedra. The corner-sharing octahedral tilt angles are 12°. There are three shorter (2.93 Å) and three longer (3.43 Å) Sb-Sb bond lengths.,53,166,R-3m,trigonal,alpha As
2,mp-112,"Y is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Y is bonded to twelve equivalent Y atoms to form a mixture of corner, edge, and face-sharing YY12 cuboctahedra. There are six shorter (3.61 Å) and six longer (3.64 Å) Y-Y bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
3,mp-113,"Tc is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Tc is bonded to twelve equivalent Tc atoms to form a mixture of face, edge, and corner-sharing TcTc12 cuboctahedra. There are six shorter (2.71 Å) and six longer (2.74 Å) Tc-Tc bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
4,mp-131,"Zr is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Zr is bonded to twelve equivalent Zr atoms to form a mixture of face, corner, and edge-sharing ZrZr12 cuboctahedra. There are six shorter (3.19 Å) and six longer (3.24 Å) Zr-Zr bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
5,mp-144,"Ho is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Ho is bonded to twelve equivalent Ho atoms to form a mixture of face, edge, and corner-sharing HoHo12 cuboctahedra. There are six shorter (3.47 Å) and six longer (3.62 Å) Ho-Ho bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
6,mp-153,"Mg is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Mg is bonded to twelve equivalent Mg atoms to form a mixture of edge, corner, and face-sharing MgMg12 cuboctahedra. There are six shorter (3.16 Å) and six longer (3.17 Å) Mg-Mg bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
7,mp-154,N2 is Cubic alpha N2 structured and crystallizes in the cubic P2_13 space group. The structure is zero-dimensional and consists of four N2 clusters. N is bonded in a single-bond geometry to one N atom. The N-N bond length is 1.11 Å.,42,198,P2_13,cubic,Cubic alpha N2
8,mp-155,"Gd is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Gd is bonded to twelve equivalent Gd atoms to form a mixture of corner, edge, and face-sharing GdGd12 cuboctahedra. There are six shorter (3.62 Å) and six longer (3.64 Å) Gd-Gd bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
9,mp-561203,F2 is Cubic alpha N2-like structured and crystallizes in the monoclinic C2/c space group. The structure is zero-dimensional and consists of four F2 clusters. F is bonded in a single-bond geometry to one F atom. The F-F bond length is 1.41 Å.,42,15,C2/c,monoclinic,Cubic alpha N2-like
10,mp-611836,O2 is alpha oxygen structured and crystallizes in the monoclinic C2/m space group. The structure is zero-dimensional and consists of two O2 clusters. O is bonded in a single-bond geometry to one O atom. The O-O bond length is 1.22 Å.,41,12,C2/m,monoclinic,alpha oxygen
11,mp-62,Pa is Protactinium structured and crystallizes in the tetragonal I4/mmm space group. Pa is bonded in a distorted q6 geometry to ten equivalent Pa atoms. There are two shorter (3.17 Å) and eight longer (3.20 Å) Pa-Pa bond lengths.,39,139,I4/mmm,tetragonal,Protactinium
12,mp-67,"Sc is Magnesium structured and crystallizes in the hexagonal P63/mmc space group. Sc is bonded to twelve equivalent Sc atoms to form a mixture of corner, edge, and face-sharing ScSc12 cuboctahedra. There are six shorter (3.27 Å) and six longer (3.29 Å) Sc-Sc bond lengths.",45,194,P6_3/mmc,hexagonal,Magnesium
13,mp-730101,H2 is Cubic alpha N2-like structured and crystallizes in the orthorhombic P2_12_121 space group. The structure is zero-dimensional and consists of four H2 clusters. H is bonded in a single-bond geometry to one H atom. The H-H bond length is 0.74 Å.,42,19,P2_12_12_1,orthorhombic,Cubic alpha N2-like
